sujet_id,n_outliers_zscore,n_outliers_pct,n_metriques_total,pct_outliers_zscore,pct_outliers_pct,statut_zscore,statut_pct
BraTS-GLI-01437-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00655-001,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01299-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00204-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01298-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01466-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00192-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01467-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00697-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00170-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00523-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01119-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01291-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01477-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01289-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01141-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01284-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01149-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01152-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00683-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01281-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01382-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00680-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01490-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00090-001,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00556-001,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00087-001,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01494-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00558-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01496-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01501-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00500-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01078-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01302-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01440-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00780-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00388-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00802-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00805-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00350-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00348-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00811-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00814-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00816-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00759-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01435-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01417-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00750-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01442-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01461-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00737-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00445-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00735-001,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00285-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01445-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00464-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01313-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00478-001,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01454-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00491-001,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01456-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01460-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01076-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01175-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00789-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01518-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01178-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01274-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00613-001,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-01264-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
BraTS-GLI-00651-000,12,12,12,100.0,100.0,SUSPECT,SUSPECT
